seq,n_pairs,mean,median,p95_abs,frac_worse_on_final,mean_pos,mean_neg
alley_1,49,0.03189890459179878,0.0047345031052827835,0.16582822799682617,0.6686586152522935,0.05629271641373634,-0.017328660935163498
alley_2,49,0.025865672156214714,0.0020296480506658554,0.26296621561050415,0.5977503225344036,0.05821307748556137,-0.022203151136636734
ambush_2,20,15.865550994873047,16.875919342041016,29.95045280456543,0.9947364177178899,15.957584381103516,-1.5272886753082275
ambush_4,32,5.711588382720947,5.0329389572143555,18.965688705444336,0.8152751397649083,7.817726135253906,-3.5837645530700684
ambush_5,49,3.5935769081115723,2.9219701290130615,9.5968599319458,0.914512704271789,3.942093849182129,-0.13473248481750488
ambush_6,19,4.213692665100098,3.796011447906494,12.23159408569336,0.9319542001146789,5.006256580352783,-6.641246795654297
ambush_7,49,0.168350949883461,0.06506110727787018,1.2388017177581787,0.8829110521788991,0.2187189757823944,-0.21145009994506836
bamboo_1,49,-0.020039772614836693,-0.003121152753010392,0.32407453656196594,0.4166450150516055,0.06226222962141037,-0.07882168143987656
bamboo_2,49,0.20198284089565277,0.010852688923478127,1.8251646757125854,0.6416306801892202,0.41784656047821045,-0.18450331687927246
bandage_1,49,0.0663219764828682,0.03961095213890076,0.34516388177871704,0.7748015517488532,0.10723006725311279,-0.07442348450422287
bandage_2,49,0.21670322120189667,0.017347250133752823,1.2533628940582275,0.7611095183486238,0.2922126054763794,-0.023871151730418205
cave_2,49,2.6543569564819336,1.8203620910644531,8.904461860656738,0.8920024906823395,3.1100943088531494,-1.1097935438156128
cave_4,49,0.6737100481987,0.33506298065185547,3.0037388801574707,0.7017788668291285,1.1457942724227905,-0.4372062683105469
market_2,49,0.23329083621501923,0.031011108309030533,1.1608458757400513,0.6433844610091743,0.39963775873184204,-0.06682232767343521
market_5,49,3.5284290313720703,2.048518419265747,13.548872947692871,0.8769329665997706,4.121417045593262,-0.6970001459121704
market_6,39,0.5345248579978943,0.09534944593906403,3.022406578063965,0.6359079343463303,1.0041544437408447,-0.28571048378944397
mountain_1,49,0.07857319712638855,0.024258669465780258,0.3333493173122406,0.8064950365538991,0.10587640851736069,-0.03522181883454323
shaman_2,49,0.03296368196606636,0.015170712023973465,0.18675969541072845,0.7600254443807339,0.04904942214488983,-0.01798159070312977
shaman_3,49,0.08592649549245834,0.0330759659409523,0.38885393738746643,0.9052555189220184,0.09602288901805878,-0.01054165419191122
sleeping_1,49,0.00837748683989048,0.00428388174623251,0.04023624584078789,0.6608998709862385,0.016376294195652008,-0.007212040014564991
sleeping_2,49,0.003730400465428829,0.0027741468511521816,0.0285344235599041,0.6159040818520642,0.011000607162714005,-0.007927495054900646
temple_2,49,0.5834363102912903,0.14498208463191986,3.340301275253296,0.7794939793577982,0.8850760459899902,-0.48286762833595276
temple_3,49,1.7224184274673462,1.444298267364502,4.995821952819824,0.9019965775516054,1.97941255569458,-0.6428852677345276
