seq,idx,model,region,epe
market_2,20,raft,all,0.7873749732971191
market_2,20,raft,matched,0.6611615419387817
market_2,20,raft,unmatched,3.63639497756958
market_2,20,raft,s0_1,0.3992435038089752
market_2,20,raft,s0_10,0.504636824131012
market_2,20,raft,s10_40,1.7872483730316162
market_2,20,raft,s40+,3.0576868057250977
market_2,20,raft,s60+,nan
market_2,20,raft,disc,1.8571518659591675
market_2,20,raft,untex,0.47221192717552185
market_2,20,raft,blur,0.7265483140945435
market_2,20,gmflow_basic,all,1.0056123733520508
market_2,20,gmflow_basic,matched,0.8874046206474304
market_2,20,gmflow_basic,unmatched,3.6739227771759033
market_2,20,gmflow_basic,s0_1,0.5507346391677856
market_2,20,gmflow_basic,s0_10,0.648188054561615
market_2,20,gmflow_basic,s10_40,2.4583992958068848
market_2,20,gmflow_basic,s40+,2.4646098613739014
market_2,20,gmflow_basic,s60+,nan
market_2,20,gmflow_basic,disc,2.164207696914673
market_2,20,gmflow_basic,untex,0.7691909074783325
market_2,20,gmflow_basic,blur,1.1935995817184448
market_2,20,gmflow_refine,all,0.7687291502952576
market_2,20,gmflow_refine,matched,0.6503405570983887
market_2,20,gmflow_refine,unmatched,3.4411206245422363
market_2,20,gmflow_refine,s0_1,0.40117961168289185
market_2,20,gmflow_refine,s0_10,0.48997238278388977
market_2,20,gmflow_refine,s10_40,1.7426764965057373
market_2,20,gmflow_refine,s40+,3.095615863800049
market_2,20,gmflow_refine,s60+,nan
market_2,20,gmflow_refine,disc,1.7385997772216797
market_2,20,gmflow_refine,untex,0.47137945890426636
market_2,20,gmflow_refine,blur,0.7753490209579468
ambush_5,20,raft,all,0.8794131278991699
ambush_5,20,raft,matched,0.6853034496307373
ambush_5,20,raft,unmatched,4.22198486328125
ambush_5,20,raft,s0_1,0.6182138919830322
ambush_5,20,raft,s0_10,0.9739457368850708
ambush_5,20,raft,s10_40,0.6571019291877747
ambush_5,20,raft,s40+,nan
ambush_5,20,raft,s60+,nan
ambush_5,20,raft,disc,1.0258818864822388
ambush_5,20,raft,untex,1.010927677154541
ambush_5,20,raft,blur,1.2998840808868408
ambush_5,20,gmflow_basic,all,1.0387721061706543
ambush_5,20,gmflow_basic,matched,0.9039275050163269
ambush_5,20,gmflow_basic,unmatched,3.360797882080078
ambush_5,20,gmflow_basic,s0_1,0.7789921760559082
ambush_5,20,gmflow_basic,s0_10,0.9396331906318665
ambush_5,20,gmflow_basic,s10_40,1.2719160318374634
ambush_5,20,gmflow_basic,s40+,nan
ambush_5,20,gmflow_basic,s60+,nan
ambush_5,20,gmflow_basic,disc,1.354230284690857
ambush_5,20,gmflow_basic,untex,1.0324236154556274
ambush_5,20,gmflow_basic,blur,1.2202262878417969
ambush_5,20,gmflow_refine,all,1.0700031518936157
ambush_5,20,gmflow_refine,matched,0.8440777063369751
ambush_5,20,gmflow_refine,unmatched,4.9604411125183105
ambush_5,20,gmflow_refine,s0_1,0.3028605282306671
ambush_5,20,gmflow_refine,s0_10,1.2657259702682495
ambush_5,20,gmflow_refine,s10_40,0.6097231507301331
ambush_5,20,gmflow_refine,s40+,nan
ambush_5,20,gmflow_refine,s60+,nan
ambush_5,20,gmflow_refine,disc,1.0549678802490234
ambush_5,20,gmflow_refine,untex,1.3032560348510742
ambush_5,20,gmflow_refine,blur,1.692650556564331
cave_4,20,raft,all,1.340639352798462
cave_4,20,raft,matched,0.9306710958480835
cave_4,20,raft,unmatched,5.603061676025391
cave_4,20,raft,s0_1,0.43204036355018616
cave_4,20,raft,s0_10,1.468000054359436
cave_4,20,raft,s10_40,1.0951759815216064
cave_4,20,raft,s40+,14.95280647277832
cave_4,20,raft,s60+,27.400747299194336
cave_4,20,raft,disc,2.1268839836120605
cave_4,20,raft,untex,1.4002273082733154
cave_4,20,raft,blur,2.776658296585083
cave_4,20,gmflow_basic,all,2.2154533863067627
cave_4,20,gmflow_basic,matched,1.6335573196411133
cave_4,20,gmflow_basic,unmatched,8.265399932861328
cave_4,20,gmflow_basic,s0_1,2.7598843574523926
cave_4,20,gmflow_basic,s0_10,1.8788368701934814
cave_4,20,gmflow_basic,s10_40,1.6988285779953003
cave_4,20,gmflow_basic,s40+,41.00436019897461
cave_4,20,gmflow_basic,s60+,80.12720489501953
cave_4,20,gmflow_basic,disc,3.422243118286133
cave_4,20,gmflow_basic,untex,2.6566574573516846
cave_4,20,gmflow_basic,blur,5.909409523010254
cave_4,20,gmflow_refine,all,1.3406835794448853
cave_4,20,gmflow_refine,matched,0.8779632449150085
cave_4,20,gmflow_refine,unmatched,6.151569366455078
cave_4,20,gmflow_refine,s0_1,0.6915010213851929
cave_4,20,gmflow_refine,s0_10,1.1881848573684692
cave_4,20,gmflow_refine,s10_40,0.945158839225769
cave_4,20,gmflow_refine,s40+,29.272991180419922
cave_4,20,gmflow_refine,s60+,62.799278259277344
cave_4,20,gmflow_refine,disc,2.071854591369629
cave_4,20,gmflow_refine,untex,1.5183579921722412
cave_4,20,gmflow_refine,blur,3.588139772415161
bandage_2,20,raft,all,0.38209205865859985
bandage_2,20,raft,matched,0.30595681071281433
bandage_2,20,raft,unmatched,2.4848861694335938
bandage_2,20,raft,s0_1,0.12984110414981842
bandage_2,20,raft,s0_10,0.3366019129753113
bandage_2,20,raft,s10_40,2.1167733669281006
bandage_2,20,raft,s40+,nan
bandage_2,20,raft,s60+,nan
bandage_2,20,raft,disc,0.8281978368759155
bandage_2,20,raft,untex,0.30089905858039856
bandage_2,20,raft,blur,0.24371793866157532
bandage_2,20,gmflow_basic,all,0.5230560302734375
bandage_2,20,gmflow_basic,matched,0.4395676553249359
bandage_2,20,gmflow_basic,unmatched,2.8289365768432617
bandage_2,20,gmflow_basic,s0_1,0.14846372604370117
bandage_2,20,gmflow_basic,s0_10,0.44615238904953003
bandage_2,20,gmflow_basic,s10_40,3.4556338787078857
bandage_2,20,gmflow_basic,s40+,nan
bandage_2,20,gmflow_basic,s60+,nan
bandage_2,20,gmflow_basic,disc,1.0689588785171509
bandage_2,20,gmflow_basic,untex,0.3796236515045166
bandage_2,20,gmflow_basic,blur,0.2891002297401428
bandage_2,20,gmflow_refine,all,0.3643850088119507
bandage_2,20,gmflow_refine,matched,0.2990071773529053
bandage_2,20,gmflow_refine,unmatched,2.170069932937622
bandage_2,20,gmflow_refine,s0_1,0.13714373111724854
bandage_2,20,gmflow_refine,s0_10,0.31226930022239685
bandage_2,20,gmflow_refine,s10_40,2.3517229557037354
bandage_2,20,gmflow_refine,s40+,nan
bandage_2,20,gmflow_refine,s60+,nan
bandage_2,20,gmflow_refine,disc,0.773400604724884
bandage_2,20,gmflow_refine,untex,0.2772755026817322
bandage_2,20,gmflow_refine,blur,0.24032822251319885
