config,metric,s0-1,s1-3,s3-10,s10-20,s20-40,s40-60,s60+
raft-raft-things-iter32:clean,epe,0.1613,0.2229,0.6650,1.1734,2.4168,3.4882,12.2995
raft-raft-things-iter32:clean,ae,5.7161,3.7762,3.0020,2.8040,3.4349,3.4104,5.2895
raft-raft-things-iter32:clean,nepe,nan,0.1255,0.1192,0.0840,0.0864,0.0715,0.0975
raft-raft-things-iter32:clean,bad1,0.0147,0.0245,0.0694,0.1360,0.2375,0.2785,0.4141
raft-raft-things-iter32:clean,count,97757800,109639417,113209365,60837267,37905750,18313758,26761358
raft-raft-things-iter32:final,epe,0.2930,0.3407,0.8588,2.1111,4.4107,8.3553,23.6102
raft-raft-things-iter32:final,ae,7.2946,4.5620,3.8820,4.4751,6.2452,8.2532,10.3487
raft-raft-things-iter32:final,nepe,nan,0.1913,0.1489,0.1487,0.1562,0.1690,0.2055
raft-raft-things-iter32:final,bad1,0.0236,0.0326,0.0942,0.1837,0.3538,0.4994,0.6666
raft-raft-things-iter32:final,count,97757800,109639417,113209365,60837267,37905750,18313758,26761358
gmflow-gmflow_things-e9887eda:clean,epe,0.2452,0.4283,0.6649,1.2529,2.5742,3.7719,11.2124
gmflow-gmflow_things-e9887eda:clean,ae,9.7148,6.9545,4.1894,3.4398,3.5518,3.0008,3.6797
gmflow-gmflow_things-e9887eda:clean,nepe,nan,0.2534,0.1183,0.0892,0.0910,0.0773,0.0962
gmflow-gmflow_things-e9887eda:clean,bad1,0.0255,0.0427,0.1321,0.2238,0.3837,0.4461,0.5982
gmflow-gmflow_things-e9887eda:clean,count,97757800,109639417,113209365,60837267,37905750,18313758,26761358
gmflow-gmflow_things-e9887eda:final,epe,0.3707,0.5531,1.1941,2.5242,4.9045,8.5692,23.8364
gmflow-gmflow_things-e9887eda:final,ae,10.9787,8.2754,5.2831,5.3225,6.8303,8.1881,9.2994
gmflow-gmflow_things-e9887eda:final,nepe,nan,0.3256,0.2102,0.1762,0.1733,0.1746,0.2098
gmflow-gmflow_things-e9887eda:final,bad1,0.0392,0.0641,0.1592,0.2885,0.5000,0.6234,0.7576
gmflow-gmflow_things-e9887eda:final,count,97757800,109639417,113209365,60837267,37905750,18313758,26761358
gmflow-gmflow_with_refine_things-36579974:clean,epe,0.1574,0.2699,0.4570,0.8936,1.8014,2.7307,8.5546
gmflow-gmflow_with_refine_things-36579974:clean,ae,6.4314,5.3493,2.8379,2.3402,2.5104,2.2222,3.2276
gmflow-gmflow_with_refine_things-36579974:clean,nepe,nan,0.1549,0.0830,0.0632,0.0640,0.0556,0.0717
gmflow-gmflow_with_refine_things-36579974:clean,bad1,0.0110,0.0198,0.0600,0.1227,0.2230,0.2720,0.4236
gmflow-gmflow_with_refine_things-36579974:clean,count,97757800,109639417,113209365,60837267,37905750,18313758,26761358
gmflow-gmflow_with_refine_things-36579974:final,epe,0.2783,0.3843,0.8318,2.0438,4.0157,7.7308,20.9869
gmflow-gmflow_with_refine_things-36579974:final,ae,8.1495,6.3847,3.8485,4.1051,5.5335,7.6099,8.2334
gmflow-gmflow_with_refine_things-36579974:final,nepe,nan,0.2188,0.1482,0.1411,0.1412,0.1570,0.1829
gmflow-gmflow_with_refine_things-36579974:final,bad1,0.0226,0.0332,0.0886,0.1782,0.3590,0.5132,0.6797
gmflow-gmflow_with_refine_things-36579974:final,count,97757800,109639417,113209365,60837267,37905750,18313758,26761358
